term,estimate,std.error,statistic,p.value,model
(Intercept),7.140466835210801,0.4668562221074011,15.294787767802577,4.081706858266453e-47,Linear
GDP,7.66908305420912e-12,2.701259090114441e-13,28.390771852559364,3.994208499264654e-127,Linear
(Intercept),-3.3428840091622893,0.18031624185772133,-18.539006662527907,3.094801157021755e-65,Log-Log
log_GDP,0.3689001709548442,0.016534920720520176,22.310368292061508,4.107143979656003e-88,Log-Log
