Year,correlation,n_countries
1960,0.8350743372604628,34
1964,0.9080072690097605,33
1968,0.9459026259778817,33
1972,0.9147812609829351,37
1976,0.9532943923906952,31
1980,0.1975135968301315,28
1984,0.9546850339873195,43
1988,0.7593798411621338,44
1992,0.7639236131111072,56
1996,0.7024232950749522,76
2000,0.6088747636220398,77
2004,0.722118114797754,71
2008,0.8243652853479475,85
2012,0.8592456447736526,84
2016,0.8651970407147207,81
2020,0.8724815984612556,89
