model,r.squared,adj.r.squared,sigma,AIC,p.value
Linear,0.4724612852042687,0.47187513107671786,13.424650994823843,7248.918022009371,3.9942084992664725e-127
Log-Log,0.35610919777229627,0.3553937635475989,0.44116787169248856,1087.495907903467,4.107143979656003e-88
